sampleId,extractionId,dateTime,locality,latitude,longitude,elevationM,accuracyM,ecosystem,ecosystemNotes,substrate,comments,waterVolumeL,pressurePsi,flowLPerMin,pumpTimeS,rateMlPerM,speedMperS,filterSizeMicro,pH,tempCelsius,tdsPpm,eC,qubitYieldNgPerMl,sampleCollector,taxa,commonName,reads,percentReads,rain,rainPaired,waterbody
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Mus musculus,Mus musculus,43242,57.41,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Homo sapiens,Homo sapiens,26108,34.66,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Lepus americanus,Lepus americanus,4709,6.25,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Lepus,Lepus ,1093,1.45,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Ondatra zibethicus,Ondatra zibethicus,119,0.16,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Mus,Mus ,25,0.03,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Leporidae,Leporidae ,16,0.02,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Sus,Sus ,6,0.01,Not paired,Not paired,Brackish
12,CW1,2021-09-21T13:59:27Z,Mud Island,43.494438,-65.983935,6.7,2.9,Pond,Barachois pond,Brackish water,NA,0.32,10.12,0.03229235880398671,600,14.38624584717608,0.04315614617940199,1.2,7.51,22.8,651,1419,10700,"Karel Allard, Lisa Doucette, Doug Hynes",Lagomorpha,Lagomorpha ,2,0,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Homo sapiens,Homo sapiens,12474,46.62,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Mus musculus,Mus musculus,10626,39.71,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Lepus americanus,Lepus americanus,3127,11.69,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Ondatra zibethicus,Ondatra zibethicus,346,1.29,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Lepus,Lepus ,129,0.48,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Phoca,Phoca ,30,0.11,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Leporidae,Leporidae ,9,0.03,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Culaea inconstans,Culaea inconstans,8,0.03,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Caniformia,Caniformia ,1,0,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Sus,Sus ,1,0,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Lagomorpha,Lagomorpha ,1,0,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Branta canadensis,Branta canadensis,3,0.01,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Chrosomus eos,Chrosomus eos,1,0,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Leuciscidae,Leuciscidae ,2,0.01,Not paired,Not paired,Brackish
15,CW2,2021-09-21T14:15:30Z,Mud Island,43.494483,-65.983884,9.6,3,Pond,Barachois pond,Brackish water,NA,0.13,6.45,0.00720472440944881,1015,4.184271653543307,0.02456692913385826,1.2,7.51,22.8,651,1419,7400,"Karel Allard, Lisa Doucette, Doug Hynes",Cottidae,Cottidae ,1,0,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Mus musculus,Mus musculus,69816,47.32,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Ondatra zibethicus,Ondatra zibethicus,55864,37.86,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Ovis aries,Ovis aries,21710,14.71,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Muroidea,Muroidea ,61,0.04,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Caprinae,Caprinae ,42,0.03,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Arvicolinae,Arvicolinae ,42,0.03,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Homo sapiens,Homo sapiens,6,0,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Murinae,Murinae ,3,0,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Culaea inconstans,Culaea inconstans,1,0,Not paired,Not paired,Brackish
23,CW4,2021-09-24T13:35:49Z,Seal Island,43.396828,-66.005146,19.5,2.9,Pond,NA,Freshwater,NA,0.07,5.89,0.00236933797909407,1721,0.7954471544715447,0.04668989547038327,1.2,3.58,14.2,2018,1955,244,"Karel Allard, Lisa Doucette, Doug Hynes",Cottidae,Cottidae ,2,0,Not paired,Not paired,Brackish
25,CW5,2021-09-24T14:18:19Z,Seal Island,43.395298,-66.006615,7.2,2.2,Pond,NA,Freshwater,NA,0.4,5.675,0.03780254777070063,627,15.753789808917196,0.04777070063694268,1.2,3.99,19.6,274,504,5560,"Karel Allard, Lisa Doucette, Doug Hynes",Ondatra zibethicus,Ondatra zibethicus,113,91.13,Not paired,Not paired,Seep
25,CW5,2021-09-24T14:18:19Z,Seal Island,43.395298,-66.006615,7.2,2.2,Pond,NA,Freshwater,NA,0.4,5.675,0.03780254777070063,627,15.753789808917196,0.04777070063694268,1.2,3.99,19.6,274,504,5560,"Karel Allard, Lisa Doucette, Doug Hynes",Mus musculus,Mus musculus,7,5.65,Not paired,Not paired,Seep
25,CW5,2021-09-24T14:18:19Z,Seal Island,43.395298,-66.006615,7.2,2.2,Pond,NA,Freshwater,NA,0.4,5.675,0.03780254777070063,627,15.753789808917196,0.04777070063694268,1.2,3.99,19.6,274,504,5560,"Karel Allard, Lisa Doucette, Doug Hynes",Cottidae,Cottidae ,2,1.61,Not paired,Not paired,Seep
25,CW5,2021-09-24T14:18:19Z,Seal Island,43.395298,-66.006615,7.2,2.2,Pond,NA,Freshwater,NA,0.4,5.675,0.03780254777070063,627,15.753789808917196,0.04777070063694268,1.2,3.99,19.6,274,504,5560,"Karel Allard, Lisa Doucette, Doug Hynes",Esociformes,Esociformes,1,0.81,Not paired,Not paired,Seep
25,CW5,2021-09-24T14:18:19Z,Seal Island,43.395298,-66.006615,7.2,2.2,Pond,NA,Freshwater,NA,0.4,5.675,0.03780254777070063,627,15.753789808917196,0.04777070063694268,1.2,3.99,19.6,274,504,5560,"Karel Allard, Lisa Doucette, Doug Hynes",Laviniinae,Laviniinae ,1,0.81,Not paired,Not paired,Seep
27,CW6,2021-09-24T15:40:13Z,Seal Island,43.394198,-66.01779,2.4,2.9,Other (please specify),Barachois Pond,Brackish water,NA,0.34,6.01,0.03937007874015748,506,28.617716535433072,0.02145669291338582,1.2,8.4,20,2000,3999,6960,"Karel Allard, Lisa Doucette, Doug Hynes",Ondatra zibethicus,Ondatra zibethicus,68947,55.67,Not paired,Not paired,Brackish
