Serial Number,WD46410AB
Sample ID,00004
Start Time,2021-09-09 13:47:34 UTC
Duration,1 day, 22:15:15
Total Volume (l),2.4
Distance (m),92
Peak Pressure (psi),10.2
Avg Flow (l/min),0.5
Avg Rate (mL/m),61.3
Avg Speed (m/s),0.2


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-09-09 13:47:34,0,0.00,-0.15,0.00,0.00,0.15,44.677098,-63.555668,50.2,3.0
2021-09-09 13:47:36,2,0.00,-0.20,0.00,0.00,0.12,44.677099,-63.555667,50.0,3.0
2021-09-09 13:47:38,4,0.00,0.18,0.00,0.00,0.11,44.677100,-63.555667,49.9,3.0
2021-09-09 13:47:40,6,0.01,-0.18,0.35,59.86,0.10,44.677102,-63.555666,49.7,3.0
2021-09-09 13:47:42,8,0.03,0.11,0.50,81.18,0.10,44.677102,-63.555664,49.4,3.0
2021-09-09 13:47:44,10,0.04,0.60,0.47,75.39,0.10,44.677102,-63.555663,49.1,3.0
2021-09-09 13:47:46,12,0.06,0.71,0.50,76.73,0.11,44.677102,-63.555662,49.1,3.0
2021-09-09 13:47:48,14,0.07,1.55,0.39,81.20,0.08,44.677104,-63.555658,49.4,3.0
2021-09-09 13:47:50,16,0.07,3.04,0.17,35.91,0.08,44.677103,-63.555657,49.8,3.0
2021-09-09 13:47:52,18,0.08,5.18,0.11,22.85,0.08,44.677102,-63.555656,50.0,3.0
2021-09-09 13:47:54,20,0.10,5.06,0.61,119.40,0.09,44.677101,-63.555656,50.2,3.0
2021-09-09 13:47:56,22,0.14,-0.01,0.83,164.88,0.08,44.677098,-63.555657,50.3,3.0
2021-09-09 13:47:58,24,0.15,2.72,0.50,104.89,0.08,44.677096,-63.555657,50.2,3.0
2021-09-09 13:48:00,26,0.17,1.71,0.57,109.51,0.09,44.677094,-63.555655,50.0,3.0
2021-09-09 13:48:02,28,0.18,2.34,0.48,95.75,0.08,44.677094,-63.555657,49.9,3.0
2021-09-09 13:48:04,30,0.20,1.61,0.54,90.68,0.10,44.677090,-63.555657,49.5,3.0
2021-09-09 13:48:06,32,0.22,1.67,0.49,71.20,0.11,44.677084,-63.555659,48.6,3.0
2021-09-09 13:48:08,34,0.23,2.06,0.48,84.17,0.10,44.677085,-63.555658,48.0,3.0
2021-09-09 13:48:10,36,0.25,0.78,0.53,95.65,0.09,44.677081,-63.555660,46.3,3.0
2021-09-09 13:48:12,38,0.27,1.93,0.48,86.67,0.09,44.677080,-63.555662,45.6,3.0
2021-09-09 13:48:14,40,0.29,1.17,0.52,87.59,0.10,44.677076,-63.555662,45.0,3.4
2021-09-09 13:48:16,42,0.30,1.74,0.49,85.92,0.10,44.677071,-63.555662,44.5,3.4
2021-09-09 13:48:18,44,0.32,1.33,0.51,80.42,0.11,44.677074,-63.555663,44.3,3.4
2021-09-09 13:48:21,47,0.34,1.57,0.50,79.74,0.10,44.677073,-63.555660,43.8,3.4
2021-09-09 13:48:23,49,0.35,1.48,0.50,72.59,0.11,44.677070,-63.555661,43.4,3.4
2021-09-09 13:48:25,51,0.37,1.60,0.50,77.45,0.11,44.677069,-63.555661,43.4,3.3
2021-09-09 13:48:27,53,0.39,1.52,0.50,96.96,0.09,44.677072,-63.555661,43.8,3.3
2021-09-09 13:48:29,55,0.40,1.50,0.50,78.39,0.11,44.677076,-63.555660,44.5,3.3
2021-09-09 13:48:31,57,0.42,1.65,0.50,73.04,0.11,44.677080,-63.555659,44.7,3.3
2021-09-09 13:48:33,59,0.44,1.50,0.50,73.04,0.11,44.677083,-63.555659,45.2,3.3
2021-09-09 13:48:35,61,0.45,1.58,0.50,76.28,0.11,44.677086,-63.555657,45.9,3.3
2021-09-09 13:48:37,63,0.47,1.41,0.50,72.03,0.11,44.677088,-63.555655,46.0,3.3
2021-09-09 13:48:39,65,0.49,1.69,0.50,72.62,0.12,44.677092,-63.555653,46.7,3.3
2021-09-09 13:48:41,67,0.50,1.60,0.50,73.42,0.11,44.677093,-63.555651,46.5,3.3
2021-09-09 13:48:43,69,0.52,1.42,0.50,80.13,0.10,44.677097,-63.555648,47.0,3.3
2021-09-09 13:48:45,71,0.54,1.66,0.50,82.59,0.10,44.677100,-63.555645,47.1,3.3
2021-09-09 13:48:47,73,0.55,1.58,0.50,73.65,0.10,44.677101,-63.555640,47.0,3.3
2021-09-09 13:48:49,75,0.57,1.71,0.49,81.71,0.12,44.677103,-63.555638,47.0,3.3
2021-09-09 13:48:51,77,0.59,1.36,0.51,77.55,0.11,44.677104,-63.555639,47.5,3.3
2021-09-09 13:48:53,79,0.60,1.73,0.49,64.46,0.13,44.677100,-63.555637,46.8,3.3
2021-09-09 13:48:55,81,0.62,1.45,0.51,66.88,0.13,44.677101,-63.555637,45.8,3.3
2021-09-09 13:48:57,83,0.64,1.64,0.49,55.56,0.15,44.677105,-63.555640,45.2,3.3
2021-09-09 13:48:59,85,0.65,1.37,0.51,58.52,0.14,44.677104,-63.555642,45.1,3.3
2021-09-09 13:49:01,87,0.67,1.56,0.49,58.88,0.14,44.677104,-63.555646,44.2,3.3
2021-09-09 13:49:03,89,0.69,1.58,0.50,58.40,0.15,44.677107,-63.555649,43.3,3.3
2021-09-09 13:49:05,91,0.70,1.50,0.50,52.98,0.16,44.677108,-63.555647,42.2,3.5
2021-09-09 13:49:07,93,0.72,1.56,0.50,52.49,0.16,44.677109,-63.555649,42.9,3.5
2021-09-09 13:49:09,95,0.74,1.63,0.50,53.15,0.15,44.677110,-63.555648,43.4,3.5
2021-09-09 13:49:11,97,0.75,1.47,0.50,58.28,0.13,44.677108,-63.555647,43.5,3.5
2021-09-09 13:49:13,99,0.77,1.50,0.50,63.98,0.13,44.677105,-63.555646,43.9,3.5
2021-09-09 13:49:15,101,0.79,1.45,0.50,66.14,0.15,44.677106,-63.555640,43.8,3.3
2021-09-09 13:49:17,103,0.80,1.50,0.50,61.16,0.13,44.677106,-63.555635,43.2,3.3
2021-09-09 13:49:19,105,0.82,1.52,0.50,62.00,0.14,44.677106,-63.555629,42.5,3.3
2021-09-09 13:49:21,107,0.84,1.50,0.50,54.45,0.16,44.677105,-63.555625,42.1,3.3
2021-09-09 13:49:23,109,0.85,1.49,0.50,49.83,0.16,44.677104,-63.555626,42.9,3.3
2021-09-09 13:49:25,111,0.87,1.36,0.50,55.19,0.15,44.677102,-63.555624,42.5,3.2
2021-09-09 13:49:27,113,0.89,1.55,0.50,58.19,0.14,44.677101,-63.555622,42.4,3.2
2021-09-09 13:49:29,115,0.90,1.50,0.50,59.12,0.15,44.677101,-63.555620,42.9,3.2
2021-09-09 13:49:31,117,0.92,1.48,0.50,55.11,0.15,44.677098,-63.555616,43.1,3.2
2021-09-09 13:49:33,119,0.94,1.56,0.50,55.82,0.15,44.677096,-63.555614,43.3,3.2
2021-09-09 13:49:35,121,0.95,1.23,0.52,54.22,0.14,44.677093,-63.555615,43.6,3.2
2021-09-09 13:49:37,123,0.97,1.72,0.49,61.08,0.15,44.677090,-63.555616,44.1,3.2
2021-09-09 13:49:39,125,0.99,1.43,0.50,55.80,0.14,44.677087,-63.555616,44.3,3.2
2021-09-09 13:49:41,127,1.00,1.59,0.50,62.19,0.14,44.677083,-63.555619,44.6,3.2
2021-09-09 13:49:43,129,1.02,1.59,0.50,63.56,0.13,44.677079,-63.555623,44.7,3.2
2021-09-09 13:49:45,131,1.04,1.56,0.50,62.82,0.13,44.677074,-63.555624,44.5,3.2
2021-09-09 13:49:47,133,1.05,1.60,0.50,61.96,0.13,44.677072,-63.555625,44.6,3.2
2021-09-09 13:49:49,135,1.07,1.48,0.50,59.87,0.13,44.677069,-63.555628,45.1,3.2
2021-09-09 13:49:51,137,1.09,1.45,0.50,65.88,0.13,44.677067,-63.555629,45.4,3.2
2021-09-09 13:49:53,139,1.10,1.56,0.50,64.25,0.13,44.677067,-63.555635,45.9,3.2
2021-09-09 13:49:55,141,1.12,1.57,0.50,70.38,0.11,44.677067,-63.555634,45.4,3.2
2021-09-09 13:49:57,143,1.14,1.54,0.50,77.05,0.09,44.677067,-63.555633,45.3,3.2
2021-09-09 13:49:59,145,1.15,1.57,0.50,92.75,0.09,44.677066,-63.555633,44.8,3.2
2021-09-09 13:50:01,147,1.17,1.71,0.50,88.51,0.09,44.677066,-63.555631,44.6,3.2
2021-09-09 13:50:03,149,1.19,1.61,0.50,103.01,0.08,44.677066,-63.555636,45.6,3.2
2021-09-09 13:50:05,151,1.20,1.54,0.50,101.81,0.09,44.677065,-63.555636,45.3,3.2
2021-09-09 13:50:07,153,1.22,1.35,0.50,91.98,0.12,44.677060,-63.555634,44.6,3.2
2021-09-09 13:50:09,155,1.24,1.56,0.50,72.37,0.12,44.677058,-63.555635,45.4,3.2
2021-09-09 13:50:11,157,1.25,2.10,0.50,48.96,0.22,44.677075,-63.555629,43.8,3.2
2021-09-09 13:50:13,159,1.27,1.33,0.51,37.64,0.23,44.677085,-63.555629,43.3,3.2
2021-09-09 13:50:15,161,1.29,1.63,0.49,35.72,0.23,44.677088,-63.555631,42.9,3.2
2021-09-09 13:50:17,163,1.30,1.36,0.51,37.22,0.23,44.677092,-63.555631,43.1,3.2
2021-09-09 13:50:19,165,1.32,1.26,0.49,35.78,0.22,44.677095,-63.555632,43.2,3.2
2021-09-09 13:50:21,167,1.34,1.63,0.50,36.98,0.22,44.677094,-63.555634,43.0,3.2
2021-09-09 13:50:23,169,1.35,1.56,0.49,36.40,0.22,44.677096,-63.555635,43.2,3.2
2021-09-09 13:50:25,171,1.37,1.67,0.50,38.33,0.21,44.677097,-63.555637,43.2,3.2
2021-09-09 13:50:27,173,1.39,1.62,0.50,38.30,0.20,44.677100,-63.555639,44.0,3.2
2021-09-09 13:50:29,175,1.40,1.51,0.50,40.77,0.21,44.677102,-63.555641,45.1,3.2
