Serial Number,WD46410AB
Sample ID,00068
Start Time,2021-12-18 17:52:33 UTC
Duration,120 days, 19:40:26
Total Volume (l),1.99
Distance (m),23
Peak Pressure (psi),10.4
Avg Flow (l/min),0.9
Avg Rate (mL/m),276.6
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2021-12-18 17:52:33,0,0.00,0.24,0.00,0.00,0.11,44.677017,-63.555726,50.3,8.3
2021-12-18 17:52:35,2,0.00,1.85,0.00,0.00,0.10,44.677020,-63.555720,49.2,8.3
2021-12-18 17:52:37,4,0.01,3.72,0.32,44.91,0.12,44.677021,-63.555719,50.0,8.3
2021-12-18 17:52:39,6,0.04,4.89,0.69,88.02,0.13,44.677028,-63.555714,49.2,8.3
2021-12-18 17:52:41,8,0.08,0.88,1.04,137.95,0.13,44.677033,-63.555710,48.9,8.3
2021-12-18 17:52:43,10,0.11,4.49,0.91,107.49,0.14,44.677033,-63.555708,49.0,8.3
2021-12-18 17:52:45,12,0.15,3.73,1.01,104.49,0.16,44.677030,-63.555707,49.9,8.3
2021-12-18 17:52:47,14,0.18,3.79,0.99,98.51,0.17,44.677034,-63.555706,49.0,8.3
2021-12-18 17:52:49,16,0.21,4.19,0.98,93.63,0.17,44.677038,-63.555706,48.4,8.3
2021-12-18 17:52:51,18,0.24,3.82,1.00,106.73,0.16,44.677039,-63.555706,48.3,8.3
2021-12-18 17:52:53,20,0.28,4.47,1.00,121.26,0.14,44.677043,-63.555706,47.8,8.3
2021-12-18 17:52:55,22,0.31,4.16,1.00,120.90,0.14,44.677048,-63.555704,46.8,8.3
2021-12-18 17:52:57,24,0.34,4.00,1.00,136.33,0.12,44.677051,-63.555703,46.3,8.3
2021-12-18 17:52:59,26,0.38,4.19,1.00,149.34,0.11,44.677051,-63.555703,46.5,8.3
2021-12-18 17:53:01,28,0.41,4.03,1.00,158.65,0.11,44.677056,-63.555701,45.2,8.3
2021-12-18 17:53:03,30,0.45,4.65,1.00,189.50,0.09,44.677060,-63.555699,44.0,8.3
2021-12-18 17:53:05,32,0.48,4.45,1.00,234.74,0.07,44.677061,-63.555700,43.8,8.3
2021-12-18 17:53:07,34,0.51,4.55,1.00,248.76,0.07,44.677064,-63.555699,43.4,20.5
2021-12-18 17:53:09,36,0.55,4.32,1.00,267.52,0.06,44.677061,-63.555703,44.6,20.5
2021-12-18 17:53:11,38,0.58,4.36,1.00,266.03,0.06,44.677060,-63.555703,44.6,20.5
2021-12-18 17:53:13,40,0.61,4.46,1.00,285.14,0.06,44.677060,-63.555702,43.6,20.5
2021-12-18 17:53:15,42,0.65,3.94,1.00,210.04,0.08,44.677044,-63.555718,44.6,20.5
2021-12-18 17:53:17,44,0.68,4.17,1.00,128.25,0.13,44.677025,-63.555740,45.4,8.3
2021-12-18 17:53:19,46,0.71,4.22,1.01,96.27,0.17,44.677020,-63.555745,46.2,8.3
2021-12-18 17:53:21,48,0.75,4.13,1.00,78.90,0.21,44.677022,-63.555745,45.0,8.3
2021-12-18 17:53:23,50,0.78,3.98,1.00,69.07,0.24,44.677025,-63.555744,44.7,8.3
2021-12-18 17:53:25,52,0.81,4.03,1.00,62.55,0.27,44.677018,-63.555752,45.8,8.3
2021-12-18 17:53:27,54,0.85,4.10,1.00,58.96,0.28,44.677028,-63.555740,45.6,20.8
2021-12-18 17:53:29,56,0.88,4.05,1.00,59.78,0.28,44.677054,-63.555711,45.7,20.8
2021-12-18 17:53:31,58,0.91,4.66,1.00,59.58,0.28,44.677060,-63.555701,46.7,20.8
2021-12-18 17:53:33,60,0.95,4.46,1.00,58.87,0.28,44.677063,-63.555701,46.3,20.8
2021-12-18 17:53:35,62,0.98,4.50,1.00,63.19,0.26,44.677067,-63.555698,46.6,20.8
2021-12-18 17:53:37,64,1.01,4.41,1.00,78.58,0.21,44.677069,-63.555696,47.6,8.3
2021-12-18 17:53:39,66,1.05,4.07,1.00,93.87,0.18,44.677067,-63.555695,49.5,8.3
2021-12-18 17:53:41,68,1.08,4.09,1.00,111.78,0.15,44.677064,-63.555697,51.2,8.3
2021-12-18 17:53:43,70,1.11,4.46,1.00,135.23,0.12,44.677062,-63.555697,51.6,8.3
2021-12-18 17:53:45,72,1.15,4.08,1.00,168.86,0.10,44.677061,-63.555700,52.2,8.3
2021-12-18 17:53:47,74,1.18,4.17,1.00,213.68,0.08,44.677058,-63.555704,52.7,8.3
2021-12-18 17:53:49,76,1.21,4.24,1.00,212.86,0.08,44.677053,-63.555710,53.2,8.3
2021-12-18 17:53:51,78,1.25,4.54,1.00,215.19,0.08,44.677051,-63.555715,53.1,8.3
2021-12-18 17:53:53,80,1.28,4.10,1.00,216.03,0.08,44.677047,-63.555719,52.9,8.3
2021-12-18 17:53:55,82,1.31,4.64,1.00,222.82,0.07,44.677042,-63.555723,52.8,8.3
2021-12-18 17:53:57,84,1.35,4.70,1.00,180.77,0.09,44.677036,-63.555729,52.4,8.3
2021-12-18 17:53:59,86,1.38,4.24,1.00,168.95,0.10,44.677028,-63.555736,52.9,8.3
2021-12-18 17:54:01,88,1.41,4.15,1.00,168.95,0.10,44.677024,-63.555737,53.2,8.3
2021-12-18 17:54:03,90,1.45,4.22,1.00,144.24,0.12,44.677019,-63.555742,53.0,8.3
2021-12-18 17:54:05,92,1.48,4.32,1.00,133.44,0.12,44.677016,-63.555744,52.6,8.3
2021-12-18 17:54:07,94,1.51,4.22,1.00,124.52,0.13,44.677017,-63.555742,52.4,8.3
2021-12-18 17:54:09,96,1.55,4.23,1.00,112.50,0.15,44.677013,-63.555743,52.6,8.3
2021-12-18 17:54:11,98,1.58,4.21,1.00,91.30,0.18,44.677006,-63.555751,52.0,8.3
2021-12-18 17:54:13,100,1.61,4.24,1.00,86.65,0.19,44.677015,-63.555742,50.7,8.3
2021-12-18 17:54:15,102,1.65,4.54,1.00,84.82,0.20,44.677013,-63.555742,50.5,8.3
2021-12-18 17:54:17,104,1.68,4.23,1.00,92.59,0.18,44.677012,-63.555741,50.9,8.3
2021-12-18 17:54:19,106,1.72,4.31,1.00,104.85,0.16,44.677014,-63.555737,51.4,8.3
2021-12-18 17:54:21,108,1.75,4.75,1.00,108.26,0.15,44.677018,-63.555734,51.6,8.3
2021-12-18 17:54:23,110,1.78,4.22,1.00,121.70,0.14,44.677021,-63.555732,51.5,8.3
2021-12-18 17:54:25,112,1.82,4.72,1.00,133.44,0.12,44.677021,-63.555729,52.2,8.3
2021-12-18 17:54:27,114,1.85,4.17,1.00,110.60,0.15,44.677013,-63.555740,51.9,8.4
2021-12-18 17:54:29,116,1.88,4.44,1.00,96.06,0.17,44.677008,-63.555747,52.0,8.4
2021-12-18 17:54:31,118,1.91,4.71,1.00,113.49,0.15,44.677008,-63.555747,52.0,8.4
2021-12-18 17:54:33,120,1.95,4.69,1.00,120.42,0.14,44.677004,-63.555749,53.1,8.4
2021-12-18 17:54:35,122,1.98,4.74,1.00,123.55,0.13,44.676997,-63.555755,53.8,8.4
2022-04-18 13:30:35,70682,0.00,-0.31,0.00,0.00,0.04,43.401436,-66.012927,5.1,4.4
2022-04-18 13:30:37,70684,0.00,-0.30,0.00,0.00,0.04,43.401436,-66.012928,5.5,4.4
