Serial Number,WD46410AB
Sample ID,00109
Start Time,2022-09-28 12:39:41 UTC
Duration,0:05:24
Total Volume (l),0.98
Distance (m),7
Peak Pressure (psi),10.5
Avg Flow (l/min),0.2
Avg Rate (mL/m),155.3
Avg Speed (m/s),0.0


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2022-09-28 12:39:41,0,0.00,-0.30,0.00,0.00,0.02,44.729926,-62.759590,8.5,2.7
2022-09-28 12:39:43,2,0.00,-0.25,0.00,0.00,0.02,44.729926,-62.759590,8.5,2.7
2022-09-28 12:39:45,4,0.00,-0.18,0.11,85.27,0.02,44.729926,-62.759591,8.5,2.7
2022-09-28 12:39:47,6,0.00,-0.00,0.06,47.28,0.02,44.729926,-62.759591,8.5,2.7
2022-09-28 12:39:49,8,0.00,1.26,0.02,15.29,0.02,44.729926,-62.759592,8.5,2.7
2022-09-28 12:39:51,10,0.00,2.69,0.00,0.00,0.02,44.729927,-62.759592,8.4,2.7
2022-09-28 12:39:53,12,0.00,3.31,0.00,0.00,0.02,44.729927,-62.759592,8.5,2.7
2022-09-28 12:39:55,14,0.00,3.68,0.00,0.00,0.02,44.729928,-62.759592,8.4,2.7
2022-09-28 12:39:57,16,0.00,3.96,0.00,0.00,0.02,44.729928,-62.759591,8.5,2.7
2022-09-28 12:39:59,18,0.00,4.22,0.00,0.00,0.02,44.729928,-62.759590,8.5,2.7
2022-09-28 12:40:01,20,0.00,4.47,0.00,0.00,0.02,44.729928,-62.759590,8.5,2.7
2022-09-28 12:40:03,22,0.00,4.59,0.00,0.00,0.02,44.729928,-62.759590,8.6,2.7
2022-09-28 12:40:05,24,0.00,4.43,0.00,0.00,0.02,44.729927,-62.759590,8.6,2.6
2022-09-28 12:40:07,26,0.00,9.06,0.00,0.00,0.02,44.729927,-62.759590,8.7,2.6
2022-09-28 12:40:09,28,0.01,10.14,0.26,267.49,0.02,44.729927,-62.759590,8.7,2.6
2022-09-28 12:40:11,30,0.03,10.51,0.49,478.98,0.02,44.729927,-62.759591,8.9,2.6
2022-09-28 12:40:13,32,0.05,10.50,0.57,521.98,0.02,44.729926,-62.759591,9.1,2.6
2022-09-28 12:40:15,34,0.07,9.96,0.54,521.74,0.02,44.729925,-62.759592,9.3,2.6
2022-09-28 12:40:17,36,0.09,9.82,0.53,538.62,0.02,44.729924,-62.759592,9.4,2.6
2022-09-28 12:40:19,38,0.11,10.07,0.55,534.50,0.02,44.729923,-62.759592,9.4,2.6
2022-09-28 12:40:21,40,0.13,10.30,0.55,537.63,0.02,44.729922,-62.759593,9.5,2.6
2022-09-28 12:40:23,42,0.14,9.95,0.50,494.56,0.02,44.729921,-62.759593,9.7,2.6
2022-09-28 12:40:25,44,0.16,9.93,0.48,471.98,0.02,44.729920,-62.759594,9.8,2.6
2022-09-28 12:40:27,46,0.17,10.10,0.48,481.93,0.02,44.729920,-62.759594,10.0,2.6
2022-09-28 12:40:29,48,0.19,10.08,0.46,436.85,0.02,44.729919,-62.759594,10.1,2.6
2022-09-28 12:40:31,50,0.20,9.98,0.43,416.67,0.02,44.729919,-62.759593,10.1,2.6
2022-09-28 12:40:33,52,0.22,10.02,0.42,421.69,0.02,44.729919,-62.759593,10.1,2.6
2022-09-28 12:40:35,54,0.23,10.06,0.41,423.12,0.02,44.729919,-62.759593,10.0,2.6
2022-09-28 12:40:37,56,0.24,10.02,0.39,408.81,0.02,44.729919,-62.759593,9.9,2.6
2022-09-28 12:40:39,58,0.26,10.01,0.37,404.37,0.02,44.729919,-62.759594,9.8,2.6
2022-09-28 12:40:41,60,0.27,10.03,0.36,392.16,0.01,44.729918,-62.759594,9.8,2.6
2022-09-28 12:40:43,62,0.28,10.00,0.35,406.50,0.01,44.729918,-62.759594,10.0,2.6
2022-09-28 12:40:45,64,0.29,10.00,0.34,377.78,0.02,44.729917,-62.759594,10.0,2.6
2022-09-28 12:40:47,66,0.30,10.01,0.33,343.75,0.02,44.729917,-62.759594,10.0,2.6
2022-09-28 12:40:49,68,0.31,9.99,0.30,295.86,0.02,44.729917,-62.759593,9.9,2.6
2022-09-28 12:40:51,70,0.32,10.04,0.30,284.90,0.02,44.729917,-62.759592,9.8,2.6
2022-09-28 12:40:53,72,0.33,10.03,0.29,301.14,0.02,44.729917,-62.759592,9.8,2.6
2022-09-28 12:40:55,74,0.34,10.03,0.28,268.97,0.02,44.729917,-62.759593,9.9,2.6
2022-09-28 12:40:57,76,0.35,10.01,0.27,258.62,0.02,44.729917,-62.759593,10.0,2.6
2022-09-28 12:40:59,78,0.36,9.98,0.26,244.82,0.02,44.729917,-62.759593,10.0,2.6
2022-09-28 12:41:01,80,0.37,9.99,0.26,230.50,0.02,44.729917,-62.759593,10.0,2.6
2022-09-28 12:41:03,82,0.37,9.96,0.25,215.89,0.02,44.729918,-62.759593,10.1,2.6
2022-09-28 12:41:05,84,0.38,9.99,0.25,211.51,0.02,44.729918,-62.759592,10.1,2.6
2022-09-28 12:41:07,86,0.39,10.00,0.25,208.86,0.02,44.729918,-62.759592,10.1,2.6
2022-09-28 12:41:09,88,0.40,10.08,0.25,214.22,0.02,44.729918,-62.759591,10.2,2.6
2022-09-28 12:41:11,90,0.41,10.02,0.24,208.88,0.02,44.729918,-62.759591,10.2,2.6
2022-09-28 12:41:13,92,0.41,9.96,0.22,198.74,0.02,44.729918,-62.759591,10.3,2.6
2022-09-28 12:41:15,94,0.42,9.97,0.22,200.36,0.02,44.729918,-62.759591,10.1,2.6
2022-09-28 12:41:17,96,0.43,10.08,0.24,214.48,0.02,44.729918,-62.759591,10.1,2.6
2022-09-28 12:41:19,98,0.44,10.01,0.23,198.11,0.02,44.729917,-62.759590,10.0,2.6
2022-09-28 12:41:21,100,0.44,10.01,0.22,186.13,0.02,44.729917,-62.759590,9.9,2.6
2022-09-28 12:41:23,102,0.45,9.92,0.21,189.19,0.02,44.729917,-62.759589,9.9,2.6
2022-09-28 12:41:25,104,0.46,9.95,0.20,165.02,0.02,44.729916,-62.759589,9.8,2.6
2022-09-28 12:41:27,106,0.46,10.07,0.20,178.25,0.02,44.729916,-62.759590,9.8,2.6
2022-09-28 12:41:29,108,0.47,10.07,0.22,202.02,0.02,44.729915,-62.759590,9.8,2.6
2022-09-28 12:41:31,110,0.48,9.96,0.19,177.40,0.02,44.729916,-62.759590,9.8,2.6
2022-09-28 12:41:33,112,0.48,9.90,0.18,163.49,0.02,44.729915,-62.759590,9.8,2.6
2022-09-28 12:41:35,114,0.49,9.98,0.21,183.25,0.02,44.729916,-62.759589,9.6,2.6
2022-09-28 12:41:37,116,0.50,10.06,0.20,181.16,0.02,44.729916,-62.759589,9.5,2.6
2022-09-28 12:41:39,118,0.50,10.06,0.20,185.19,0.02,44.729916,-62.759588,9.4,2.6
2022-09-28 12:41:41,120,0.51,9.93,0.15,152.44,0.02,44.729917,-62.759589,9.4,2.6
2022-09-28 12:41:43,122,0.51,10.02,0.16,147.33,0.02,44.729916,-62.759589,9.5,2.6
2022-09-28 12:41:45,124,0.52,10.06,0.18,162.60,0.02,44.729916,-62.759589,9.6,2.6
2022-09-28 12:41:47,126,0.53,10.06,0.19,161.15,0.02,44.729916,-62.759589,9.6,2.6
2022-09-28 12:41:49,128,0.53,9.95,0.14,118.14,0.02,44.729915,-62.759589,9.6,2.6
2022-09-28 12:41:51,130,0.53,9.99,0.16,136.05,0.02,44.729915,-62.759589,9.5,2.6
2022-09-28 12:41:53,132,0.54,10.04,0.17,140.26,0.02,44.729915,-62.759588,9.5,2.6
2022-09-28 12:41:55,134,0.55,10.02,0.14,122.81,0.02,44.729914,-62.759588,9.5,2.6
2022-09-28 12:41:57,136,0.55,9.95,0.14,120.27,0.02,44.729913,-62.759588,9.6,2.6
2022-09-28 12:41:59,138,0.56,9.97,0.16,136.40,0.02,44.729913,-62.759588,9.6,2.6
2022-09-28 12:42:01,140,0.56,10.06,0.15,129.87,0.02,44.729912,-62.759588,9.6,2.6
2022-09-28 12:42:03,142,0.57,10.08,0.18,155.44,0.02,44.729912,-62.759589,9.7,2.6
2022-09-28 12:42:05,144,0.57,10.01,0.14,131.09,0.02,44.729912,-62.759588,9.7,2.6
2022-09-28 12:42:07,146,0.58,9.99,0.12,115.61,0.02,44.729912,-62.759588,9.8,2.6
2022-09-28 12:42:09,148,0.58,9.99,0.12,119.05,0.02,44.729912,-62.759588,9.8,2.6
2022-09-28 12:42:11,150,0.58,10.09,0.13,124.52,0.02,44.729912,-62.759588,9.9,2.6
2022-09-28 12:42:13,152,0.59,9.93,0.07,59.68,0.02,44.729911,-62.759589,10.1,2.6
2022-09-28 12:42:15,154,0.59,9.94,0.03,26.11,0.02,44.729912,-62.759589,10.1,2.6
2022-09-28 12:42:17,156,0.59,9.99,0.10,84.60,0.02,44.729912,-62.759589,10.1,2.6
2022-09-28 12:42:19,158,0.59,10.09,0.09,77.72,0.02,44.729912,-62.759589,10.1,2.6
2022-09-28 12:42:21,160,0.60,9.99,0.11,91.67,0.02,44.729912,-62.759590,10.0,2.6
2022-09-28 12:42:23,162,0.60,9.99,0.09,76.92,0.02,44.729912,-62.759590,10.1,2.6
2022-09-28 12:42:25,164,0.60,10.00,0.10,92.85,0.02,44.729912,-62.759591,10.0,2.6
2022-09-28 12:42:27,166,0.61,10.04,0.12,112.99,0.02,44.729913,-62.759591,10.0,2.6
2022-09-28 12:42:29,168,0.61,10.01,0.12,109.59,0.02,44.729913,-62.759591,10.1,2.6
2022-09-28 12:42:31,170,0.61,10.02,0.07,66.10,0.02,44.729913,-62.759591,10.1,2.6
2022-09-28 12:42:33,172,0.62,9.97,0.10,92.34,0.02,44.729913,-62.759591,10.1,2.6
2022-09-28 12:42:35,174,0.62,9.99,0.11,97.52,0.02,44.729913,-62.759591,10.2,2.6
2022-09-28 12:42:37,176,0.62,9.99,0.09,80.21,0.02,44.729913,-62.759591,10.3,2.6
2022-09-28 12:42:39,178,0.62,10.00,0.07,60.92,0.02,44.729913,-62.759591,10.3,2.6
2022-09-28 12:42:41,180,0.63,10.05,0.09,80.21,0.02,44.729913,-62.759591,10.3,2.6
2022-09-28 12:42:43,182,0.63,10.01,0.10,96.62,0.02,44.729913,-62.759590,10.4,2.6
2022-09-28 12:42:45,184,0.63,10.03,0.09,86.21,0.02,44.729914,-62.759590,10.4,2.6
2022-09-28 12:42:47,186,0.64,9.92,0.08,70.92,0.02,44.729914,-62.759590,10.4,2.6
2022-09-28 12:42:49,188,0.64,9.98,0.13,113.74,0.02,44.729914,-62.759590,10.5,2.6
2022-09-28 12:42:51,190,0.65,9.98,0.12,104.99,0.02,44.729913,-62.759591,10.5,2.6
2022-09-28 12:42:53,192,0.65,9.94,0.09,92.88,0.02,44.729913,-62.759592,10.8,2.6
2022-09-28 12:42:55,194,0.65,9.98,0.13,141.15,0.02,44.729913,-62.759591,10.7,2.6
2022-09-28 12:42:57,196,0.66,9.94,0.11,124.29,0.01,44.729913,-62.759591,10.6,2.6
2022-09-28 12:42:59,198,0.66,9.95,0.10,112.99,0.01,44.729913,-62.759591,10.5,2.6
2022-09-28 12:43:01,200,0.66,10.05,0.11,117.90,0.02,44.729913,-62.759591,10.5,2.6
2022-09-28 12:43:03,202,0.67,9.95,0.10,94.70,0.02,44.729913,-62.759591,10.4,2.6
2022-09-28 12:43:05,204,0.67,10.06,0.12,111.42,0.02,44.729913,-62.759592,10.4,2.6
2022-09-28 12:43:07,206,0.67,10.05,0.10,93.90,0.02,44.729913,-62.759592,10.5,2.6
2022-09-28 12:43:09,208,0.68,10.01,0.09,85.71,0.02,44.729913,-62.759593,10.6,2.6
2022-09-28 12:43:11,210,0.68,9.99,0.08,74.28,0.02,44.729913,-62.759593,10.5,2.6
2022-09-28 12:43:13,212,0.68,10.03,0.11,92.36,0.02,44.729913,-62.759593,10.5,2.6
2022-09-28 12:43:15,214,0.69,10.04,0.09,64.94,0.02,44.729912,-62.759593,10.4,4.6
2022-09-28 12:43:17,216,0.69,9.98,0.06,36.04,0.03,44.729912,-62.759594,10.4,4.6
2022-09-28 12:43:19,218,0.69,10.04,0.09,52.91,0.03,44.729912,-62.759594,10.4,4.6
2022-09-28 12:43:21,220,0.69,10.04,0.08,44.82,0.03,44.729912,-62.759594,10.4,4.6
2022-09-28 12:43:23,222,0.70,10.03,0.07,35.14,0.03,44.729911,-62.759595,10.4,4.6
2022-09-28 12:43:25,224,0.70,10.00,0.09,40.43,0.04,44.729911,-62.759595,10.4,4.6
2022-09-28 12:43:27,226,0.70,9.97,0.06,26.67,0.04,44.729911,-62.759595,10.3,4.6
2022-09-28 12:43:29,228,0.70,10.06,0.07,30.30,0.04,44.729910,-62.759594,10.4,4.6
2022-09-28 12:43:31,230,0.71,10.08,0.09,38.66,0.04,44.729911,-62.759595,10.6,4.6
2022-09-28 12:43:33,232,0.71,9.93,0.07,27.39,0.04,44.729911,-62.759595,10.7,4.6
2022-09-28 12:43:35,234,0.71,10.08,0.07,27.52,0.04,44.729911,-62.759596,10.8,4.6
2022-09-28 12:43:37,236,0.71,10.03,0.07,29.76,0.04,44.729912,-62.759596,10.8,4.6
2022-09-28 12:43:39,238,0.72,10.04,0.07,28.77,0.04,44.729912,-62.759596,10.9,4.6
2022-09-28 12:43:41,240,0.72,9.77,0.05,20.96,0.04,44.729912,-62.759595,10.8,4.6
2022-09-28 12:43:43,242,0.72,10.19,0.14,58.04,0.04,44.729911,-62.759595,10.9,4.6
2022-09-28 12:43:45,244,0.73,10.11,0.12,50.63,0.04,44.729910,-62.759595,11.0,4.6
2022-09-28 12:43:47,246,0.73,9.87,0.05,21.02,0.04,44.729910,-62.759594,11.0,4.6
2022-09-28 12:43:49,248,0.73,10.07,0.03,12.69,0.04,44.729901,-62.759591,9.4,4.6
2022-09-28 12:43:51,250,0.73,10.05,0.08,33.67,0.04,44.729897,-62.759590,8.8,4.6
2022-09-28 12:43:53,252,0.75,4.15,0.37,175.69,0.04,44.729894,-62.759589,8.4,4.6
2022-09-28 12:43:55,254,0.79,1.76,1.16,525.36,0.04,44.729894,-62.759589,8.2,2.6
2022-09-28 12:43:57,256,0.84,2.45,1.18,555.56,0.04,44.729893,-62.759589,7.9,2.6
2022-09-28 12:43:59,258,0.85,4.46,0.68,321.97,0.04,44.729892,-62.759588,7.7,2.6
2022-09-28 12:44:01,260,0.86,5.62,0.33,159.42,0.03,44.729892,-62.759587,7.8,2.6
2022-09-28 12:44:03,262,0.86,6.16,0.13,69.11,0.03,44.729892,-62.759587,7.8,2.6
2022-09-28 12:44:05,264,0.86,6.18,0.04,23.81,0.03,44.729892,-62.759587,7.7,2.6
2022-09-28 12:44:07,266,0.86,6.16,0.01,6.14,0.03,44.729892,-62.759587,7.5,2.6
