Serial Number,WF1661142
Sample ID,00001
Start Time,2023-02-27 22:13:31 UTC
Duration,0:01:12
Total Volume (l),1.04
Distance (m),797
Peak Pressure (psi),2.2
Avg Flow (l/min),0.5
Avg Rate (mL/m),159.6
Avg Speed (m/s),9.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-02-27 22:13:31,0,0.00,-0.01,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:33,2,0.00,1.22,0.00,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:35,4,0.02,2.24,0.39,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:37,6,0.04,0.20,0.53,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:39,8,0.05,1.36,0.44,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:41,10,0.07,0.94,0.50,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:43,12,0.09,0.42,0.52,999.00,0.00,0.000000,0.000000,0.0,250.0
2023-02-27 22:13:31,0,0.44,1.03,0.50,0.55,14.47,45.741923,-122.617385,17.8,58.3
2023-02-27 22:13:33,2,0.45,0.39,0.50,0.60,12.52,45.741937,-122.617388,20.7,58.3
2023-02-27 22:13:35,4,0.47,0.39,0.50,0.72,10.62,45.741972,-122.617387,24.3,58.3
2023-02-27 22:13:37,6,0.49,1.02,0.50,0.78,10.62,45.741972,-122.617387,24.3,58.3
2023-02-27 22:13:39,8,0.50,0.46,0.50,0.78,10.62,45.741972,-122.617387,24.3,58.3
2023-02-27 22:13:41,10,0.52,0.44,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:43,12,0.54,0.85,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:45,14,0.55,0.73,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:47,16,0.57,0.89,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:49,18,0.59,1.16,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:51,20,0.60,0.49,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:53,22,0.62,0.57,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:55,24,0.64,0.71,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:57,26,0.65,0.38,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:13:59,28,0.67,1.21,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:01,30,0.69,0.92,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:03,32,0.70,0.58,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:05,34,0.72,1.08,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:07,36,0.74,0.80,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:09,38,0.75,0.50,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:11,40,0.77,0.86,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:13,42,0.79,0.74,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:15,44,0.80,0.83,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:17,46,0.82,1.09,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:19,48,0.84,0.52,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:21,50,0.85,1.08,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:23,52,0.87,0.70,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:25,54,0.89,0.79,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:27,56,0.90,1.06,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:29,58,0.92,0.47,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:31,60,0.94,0.88,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:33,62,0.95,0.76,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:35,64,0.97,0.57,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:37,66,0.99,1.05,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:39,68,1.00,0.52,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:41,70,1.02,0.67,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:14:43,72,1.04,1.21,0.50,0.78,10.62,45.741972,-122.617387,24.3,250.0
