Serial Number,WF1661142
Sample ID,00012
Start Time,2023-05-03 17:45:34 UTC
Duration,36 days, 22:32:29
Total Volume (l),0.53
Distance (m),7
Peak Pressure (psi),6.7
Avg Flow (l/min),0.4
Avg Rate (mL/m),90.3
Avg Speed (m/s),0.1


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-05-03 17:45:34,0,0.00,0.45,0.00,0.00,0.06,45.906637,-64.370158,8.0,3.1
2023-05-03 17:45:36,2,0.00,1.13,0.00,0.00,0.06,45.906640,-64.370160,8.0,3.1
2023-05-03 17:45:38,4,0.01,1.91,0.20,58.28,0.05,45.906642,-64.370161,8.3,3.1
2023-05-03 17:45:40,6,0.03,0.67,0.56,166.96,0.06,45.906644,-64.370161,8.6,3.0
2023-05-03 17:45:42,8,0.04,1.33,0.38,106.71,0.06,45.906646,-64.370163,8.6,3.0
2023-05-03 17:45:44,10,0.06,1.68,0.52,147.52,0.06,45.906649,-64.370165,8.5,3.0
2023-05-03 17:45:46,12,0.07,2.85,0.43,120.85,0.06,45.906651,-64.370167,8.5,3.0
2023-05-03 17:45:48,14,0.08,4.78,0.19,53.99,0.06,45.906654,-64.370169,8.5,3.0
2023-05-03 17:45:50,16,0.10,5.80,0.55,176.62,0.05,45.906657,-64.370170,8.7,3.3
2023-05-03 17:45:52,18,0.13,2.11,0.73,248.30,0.05,45.906660,-64.370171,8.9,3.3
2023-05-03 17:45:54,20,0.14,2.36,0.59,210.34,0.04,45.906663,-64.370171,9.1,3.3
2023-05-03 17:45:56,22,0.16,1.68,0.54,225.56,0.04,45.906665,-64.370172,9.3,3.3
2023-05-03 17:45:58,24,0.18,1.90,0.52,214.52,0.04,45.906666,-64.370172,9.6,3.3
2023-05-03 17:46:00,26,0.19,1.97,0.50,205.76,0.04,45.906665,-64.370172,9.7,3.3
2023-05-03 17:46:02,28,0.21,1.71,0.51,229.42,0.04,45.906665,-64.370171,10.0,3.3
2023-06-09 16:17:21,81107,0.21,-0.63,0.00,0.00,0.13,45.906649,-64.370140,10.0,3.1
2023-06-09 16:17:23,81109,0.21,-0.57,0.00,0.00,0.13,45.906653,-64.370142,10.6,3.1
2023-06-09 16:17:25,81111,0.22,0.22,0.40,53.94,0.12,45.906655,-64.370144,11.1,3.1
2023-06-09 16:17:27,81113,0.24,-0.27,0.49,66.31,0.12,45.906656,-64.370145,11.4,3.1
2023-06-09 16:17:29,81115,0.25,0.86,0.43,59.20,0.11,45.906656,-64.370145,12.0,3.1
2023-06-09 16:17:31,81117,0.27,1.02,0.43,62.37,0.11,45.906659,-64.370147,12.1,3.1
2023-06-09 16:17:33,81119,0.28,3.14,0.27,39.39,0.12,45.906656,-64.370148,12.2,3.1
2023-06-09 16:17:35,81121,0.28,4.94,0.11,15.58,0.12,45.906655,-64.370149,12.3,4.5
2023-06-09 16:17:37,81123,0.29,6.71,0.33,44.86,0.12,45.906658,-64.370151,12.8,4.5
2023-06-09 16:17:39,81125,0.32,6.41,0.73,103.81,0.12,45.906661,-64.370152,13.4,4.5
2023-06-09 16:17:41,81127,0.35,0.87,0.74,99.66,0.12,45.906664,-64.370153,14.2,4.5
2023-06-09 16:17:43,81129,0.36,3.40,0.54,70.34,0.13,45.906663,-64.370153,14.7,4.5
2023-06-09 16:17:45,81131,0.38,1.32,0.55,69.10,0.13,45.906660,-64.370153,14.4,3.1
2023-06-09 16:17:47,81133,0.39,3.10,0.50,61.41,0.14,45.906664,-64.370153,15.5,3.1
2023-06-09 16:17:49,81135,0.41,1.44,0.51,52.70,0.16,45.906665,-64.370153,15.9,3.1
2023-06-09 16:17:51,81137,0.43,1.99,0.51,52.71,0.16,45.906665,-64.370152,15.9,3.1
2023-06-09 16:17:53,81139,0.45,1.78,0.50,50.28,0.17,45.906661,-64.370152,15.4,3.1
2023-06-09 16:17:55,81141,0.46,2.01,0.51,52.45,0.16,45.906660,-64.370151,15.5,3.1
2023-06-09 16:17:57,81143,0.48,1.62,0.50,54.82,0.15,45.906661,-64.370152,15.6,3.1
2023-06-09 16:17:59,81145,0.50,1.94,0.50,55.26,0.15,45.906665,-64.370153,16.2,3.1
2023-06-09 16:18:01,81147,0.51,1.86,0.50,56.17,0.15,45.906666,-64.370155,16.3,3.1
2023-06-09 16:18:03,81149,0.53,1.80,0.50,56.12,0.14,45.906664,-64.370155,16.3,3.1
